The children were playing house .	She felt she had to get out of the house .	0
What position does he play ?	Stop running all over the field and play your position !	1
Play sports .	Who 's playing now ?	1
The circus will be in town next week .	He ran away from home to join the circus .	1
Break a law .	Her voice broke to a whisper when she started to talk about her children .	0
There was a certain woodenness in his replies .	He criticized the woodenness of the acting .	1
Thanks to that quack I am a human wreck .	The house was a wreck when they bought it .	1
Catch the mood .	Do n't catch your meaning .	0
Renewed jitters in the wake of a blip in retail sales .	The market had one bad blip today .	1
The fields vegetate vigorously .	The bacterial growth vegetated along .	0
Peeling potatoes is a drag .	He took a drag on his cigarette and expelled the smoke slowly .	0
He tried to blame the victim but his success on that score was doubtful .	Settling a score .	0
She gave great head .	They tracked him back toward the head of the stream .	0
Please turn down the volume on the stereo .	The kids played their music at full volume .	1
He removed the top of the carton .	He could n't get the top off of the bottle .	1
We had to stand for the entire performance !	There stood on the corner a statue .	1
He took a deep breath and dived into the pool .	I could feel the runner 's breath on my shoulder .	0
Take steps .	Take action .	1
What is all that stuff on your bedroom floor ?	You do n't have the stuff to be a United States Marine .	0
Raise a mutiny .	Raise the roof .	0
We sat around the fire singing songs and telling stories .	Barbecue over an open fire .	0
Start a new job .	I start my day with a good breakfast .	0
The sale will run for ten days .	The meeting ran late .	1
Do nothing .	A ' B ' grade does n't suffice to get me into medical school .	0
He was surprised by the absence of any explanation .	Absence makes the heart grow fonder .	1
Cut a check .	Cut the rope .	0
Ream oranges .	The dentist reamed out the debris in the course of the root canal treatment .	0
Do n't run that software unless you have permission . ' .	Run rogue .	0
I will run the sample .	Our coach had us running plays for the whole practice .	1
May God keep you .	The student was kept after school .	0
Work one 's way through the crowd .	She never worked because she inherited a lot of money .	0
Draw water for a bath .	Draw parallels .	0
Clothes make the man .	He made to speak but said nothing in the end .	0
We 'll have to vote on whether or not to admit a new member .	He admitted his guilt .	0
You ca n't take credit for this !	We took an apartment on a quiet street .	0
Make a mess in one 's office .	She 'll make a fine president .	0
I will stake my good reputation for this .	Stake your goat .	0
He did n't make the choir after his voice changed .	You have to spend money to make money !	1
The machine is now in working order .	A friend in New Mexico said that the order caused no trouble out there .	0
The voting process does n't work as well as people thought .	This method does n't work .	1
There 's good stuff in that book .	The stuff of heros .	0
He resorted to the interception of his daughter 's letters .	He claimed that the interception of one missile by another would be impossible .	1
Raise a smile .	Raise your ` o ' .	0
If you were in my place what would you do ?	He has a special place in my thoughts .	0
Take steps .	Shall we take a guide in Rome ?	0
They say he gives good head .	The head of the list .	0
You look like someone drug you behind a horse for half a mile .	They drugged the kidnapped tourist .	1
He overstepped his place .	He put the lamp back in its place .	0
Raise the question of promotions .	Raise from the dead .	0
Fall by the wayside .	Christmas falls on a Monday this year .	0
Keep my job for me while I give birth .	Keep a diary .	0
In defense he said the other man started it .	The artillery battered down the defenses .	0
We take all major credit cards .	Do you take sugar in your coffee ?	1
Give homage .	She gave herself to many men .	0
Check the brakes .	Check the oil in your car once a month .	1
The unlawful restraint of trade .	Restraints imposed on imports .	0
He can hold his liquor .	To carry well , i.e. to hold the head high , with arching neck .	0
Did you ever visit Paris ?	The principal visited his rage on the students .	0
A nice line of shoes .	They were arrayed in line of battle .	0
What do you make of his remarks ?	Make a mistake .	0
Can you break a hundred-dollar bill for me ?	The wholesaler broke the container loads into palettes and boxes for local retailers .	1
Life has lost its point .	He broke the point of his pencil .	0
That store offers a variety of products .	That store offers a variety of products .	1
The grant does n't cover my salary .	The President covered the fact that he bugged the offices in the White House .	0
Run a subject .	I 'm not ready to run a marathon .	0
I can not accept your invitation .	We accept the idea of universal health care .	0
The piano had a very stiff action .	A rifle action .	1
Contact with the pier scraped paint from the hull .	The pilot made contact with the base .	0
Put down 5 and carry 2 .	I am carrying his child .	0
Would you please cut the cake ?	Cut a hole .	0
Gather some stones .	Herman gathered the students together .	1
To admit a serious thought into the mind .	This pipe admits air .	1
It brought out his better side .	The Confederate side was prepared to attack .	0
Draw a weapon .	A ship draws ten feet of water .	0
A wall of prejudice .	The container 's walls were blue .	0
The airwaves carry the sound .	Sound carries well over water .	1
These bonds carry warrants .	The dog was taught to fetch and carry .	0
Turn the corner .	We turned from Socialism to Capitalism .	0
The dog was taught to fetch and carry .	Carry a cause .	0
Spokes radiate from the hub of the wheel .	The heat radiates from a stove .	0
Choke a carburetor .	The pirate choked the sailor to death .	0
There is a lovely little church in the valley .	The church was empty .	1
Do you take me for a fool ?	I take it you 're not going ?	1
Operator , could you connect me to the Raffles in Singapore ?	These computers connected well .	0
The French doors give onto a terrace .	The wall gave in .	0
His gross income was enough that he had to file a tax return .	On his return from Australia we gave him a welcoming party .	0
He is out of action .	The piano had a very stiff action .	0
Tickets are $ 5 per head .	We will consider performance issues under the head of future improvements .	0
On the one hand ... , but on the other hand ...	All hands on deck .	0
The emerging buds were a sure sign of spring .	You can visit me in the spring , when the weather is bearable .	1
The feeling is difficult to describe , but not unpleasant .	He described what we should do .	1
Do you know my sister ?	I know him under a different name .	1
Turn your face to the wall .	The people turned against the President when he stole the election .	0
He sailed around the world .	All the world loves a lover .	0
I ride to work in a bus .	She rode a wave of popularity .	0
We take the Times every day .	Take action .	0
She was vice-presidential material .	He was university material .	1
This dough does not work easily .	Can you work an electric drill ?	0
Come into contact with a terrorist group .	Where did you come from ?	0
In warfare , whoever opens fire first has a greater chance of victory .	Surrender fires the cold skepticism .	0
Cover the grave with flowers .	She covered herself with glory .	0
What is the point of discussing it ?	He stuck the point of the knife into a tree .	0
It was all done in play .	Rain stopped play in the 4th inning .	0
You take a chance when you let her drive .	We had the chance to meet the president last week .	0
He swore as the ball rimmed the cup and rolled away .	He drank a cup of coffee .	0
A drop of each sample was analyzed .	They expected the drop would be successful .	0
Please focus on your studies and not on your hobbies .	Focus on passing the test .	1
He broke the point of his pencil .	He stuck the point of the knife into a tree .	1
The collision of the two ships resulted in a serious oil spill .	Three passengers were killed in the collision .	1
Do you take me for a fool ?	He was often taken to be a man of means .	1
Plug the wall .	He attempted to plug the leaks with some caulk .	0
The sky is red this morning — does that mean we 're in for a storm ?	My ex-husband means nothing to me .	0
It was several days after the storm before they could repair the washout and open the road .	From the house they watched the washout of their newly seeded lawn by the water .	0
Nuts shell in falling .	Wheat or rye shells in reaping .	1
Make lead into gold .	How much do you make a month in your new job ?	0
The crowd had to run away from the burning structure with only the clothes on their backs .	Who 's running for treasurer this year ?	0
Leave the flowers that you see in the park behind .	The wound I got in my car accident left behind a massive scar .	1
How could you do such a thing ?	He has a thing about seafood .	0
It can be tricky to land a helicopter .	Use the net to land the fish .	1
There was a tension in the air which made me suspect an approaching storm .	Open a window and let in some air .	1
Make a phone call .	They make a cute couple .	0
The house gets a percentage of every bet .	He has a house on Cape Cod .	0
He was mistreated while in police custody .	The suspect is in custody .	0
He is an intellectual giant , and I have great respect for him .	Be sure to give my respects to the dean .	0
People knew how to stain glass a beautiful blue in the middle ages .	Stain this table a beautiful walnut color .	1
The sale will run for ten days .	The book runs 655 pages .	1
Please strike this remark from the record .	We must strike the enemy 's oil fields .	0
I used to take The Sunday Times .	You ca n't take credit for this !	0
We can not continue several servants any longer .	The bad weather continued for two more weeks .	0
Play the stock market .	Play cards .	0
Sugar loaf .	A loaf of cheese .	1
You must carry your camping gear .	Amanda carried the package .	1
The sum of all our troubles did not equal the misery they suffered .	The sum of forty pounds .	0
He is blind -- he can not see .	I saw him laughing .	1
The temperature could hit 110 F tomorrow .	The movie hits theaters in December .	1
She cut the deck for a long time .	Soap cuts grease .	0
Mastering a second language requires a lot of work .	He arrived at work early today .	0
He recalled the experience vividly .	It was an experience he would not soon forget .	1
I used to take The Sunday Times .	Take action .	0
Please focus on your studies and not on your hobbies .	We focused on it .	1
A thread of smoke climbed upward .	From the air the road was a grey thread .	1
She cut the deck for a long time .	Cut a disk .	0
Come into contact with a terrorist group .	The shoes came untied .	1
Coordinate his actions with that of his colleagues .	Coordinate the painters , masons , and plumbers .	1
Your place or mine ?	If you were in my place what would you do ?	0
They set out on their return to the base camp .	I expect the house to be spotless upon my return .	1
There is a law against kidnapping .	By law , one is not allowed to own a wallaby in New York City .	0
Wash in warm water and tumble dry .	They tumbled the teams with no apparent pattern .	0
Stream of consciousness .	Two streams of development run through American history .	1
The play lasted two hours .	They made a futile play for power .	0
I give you credit for owning up to your mistake .	He arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift .	1
He paid all his bills by check .	He asked the waiter for the check .	0
Do n't drill here , there 's a gas pipe .	Drill a small hole to start the screw in the right direction .	1
Increasing recognition that diabetes frequently coexists with other chronic diseases .	A sudden recognition of the problem he faced .	1
Can you remember her phone number ?	I remember the concert clearly , but I ca n't recollect why I was there .	1
Room to pass .	There was n't that much elbow room in the aircraft .	1
A disk drive contains a microprocessor to handle the internal functions of the drive .	A microprocessor functions as the central processing unit of a microcomputer .	1
It was a nice piece of work .	He needed a piece of granite .	0
To move in a matter .	She moved the queen closer to the centre of the board .	0
Chief of Staff is the second-highest position in the army .	Atheists do not enjoy a favorable position in American life .	1
Let 's see -- which movie should we see tonight ?	How nice to see you again !	0
His horse won by a head .	He is two heads taller than his little sister .	1
To make like a deer caught in the headlights .	He made as if to punch him , but they both laughed and shook hands .	1
Reduce an image .	Reduce one 's standard of living .	0
He could not work the math problem .	This unpleasant situation is n't going to work itself out .	1
Take an opportunity .	The escaped convict took to the hills .	0
You had better pack your swollen ankle with ice .	Pack the faucet .	0
They admired his scrupulous professional integrity .	He expects to find in us the common honesty and integrity of men of business .	1
He wanted to feel a part of something bigger than himself .	The rear part of the house .	0
His voice had an edge to it .	She sat on the edge of the bed .	0
I take aspirin every day to thin my blood .	Hitler took the Baltic Republics .	0
Tomorrow the doctor will take the cast off her arm .	Take the gun from your pocket .	1
You can create the color orange by mixing yellow and red .	The company was created 25 years ago .	1
I may be an hour .	When will the meeting be ?	0
The cooling touch of the night air .	This piano has a wonderful touch .	0
That mechanic 's a bum - he could n't fix a yo-yo .	A lazy bum .	1
Pull one 's horse to a stand .	Pull the ball .	0
Did you catch a cold ?	The fashion did not catch .	0
We had to see a psychiatrist .	He saw action in Viet Nam .	0
Make advances .	She 'll make a fine president .	0
A growing realization of the risk involved .	The victory was the realization of a whole year 's work .	0
It is vital that he not know .	She knew of our plan .	1
He stuck his head out the window .	They tracked him back toward the head of the stream .	0
He longed for the touch of her hand .	This room needs a woman 's touch .	0
Where do today 's public schools fail ?	The attempt to rescue the hostages failed miserably .	1
Stick the corner of the sheet under the mattress .	The friends stuck together through the war .	0
The young prince will soon occupy the throne .	He occupies two rooms on the top floor .	0
My students range from very bright to dull .	The instruments ranged from tuba to cymbals .	1
It 's your turn ; go .	"The gun went "" bang "" ."	0
The practice of the law .	I took over his practice when he retired .	1
Dress the windows .	Marlene dressed herself .	0
They came together in a chance meeting on the way home from work .	Next year the meeting will be in Chicago .	1
Do n't feed him any more : he 's had his fill .	She had heard her fill of gossip .	1
Polish your social manners .	He polished up the chrome until it gleamed .	0
A cartilaginous style .	The anal styles of insects .	1
I like to treat myself to a day at a spa when I am depressed .	Grandmother always treated us to the circus .	1
These luxuries all had to go under the Khmer Rouge .	This chair has got to go .	1
Return to your native land .	The professor returned to his teaching position after serving as Dean .	1
Give thought to .	I gave two sons to the war .	0
He did n't miss a single day of school .	He walked to school every morning .	0
After that day she never trusted him again .	I 've been here for 2 days and a bit .	1
Strike ` z ' on the keyboard .	The horse finally struck a pace .	0
Make a cake .	He made twenty bucks playing poker last night .	0
Break a branch from a tree .	The business partners broke over a tax question .	0
The Academy of Music .	The American Academy of Arts and Sciences .	0
I 've got to go to the head .	This song keeps going through my head .	0
Keep appointments .	We kept to the original conditions of the contract .	1
They fought to regain the lost ground .	The worm crawls through the ground .	0
They put out quite a spread .	The spread between lending and borrowing costs .	0
Lob the tennis ball .	The guard lobbed a pass just over the defender .	1
Draw a conclusion .	The doctors drew medical supplies from the hospital 's emergency bank .	0
The hills around here fall towards the ocean .	His eyes fell .	0
We do business all over the world .	He bought his brother 's business .	0
I envied his rapid buildup of assets .	A military buildup in preparation for the invasion .	1
The sole object of her trip was to see her children .	The object of the verb .	0
Catch one 's breath .	Catch some sleep .	1
It was on the order of a mile .	Law and order .	0
The insurance will replace the lost income .	He replaced the old razor blade .	1
His sour breath offended her .	The child 's breath came quickly and unevenly .	0
Break the code .	Break a branch from a tree .	0
The horse will run the Preakness next year .	I 'm not ready to run a marathon .	1
His hand was illegible .	A good hand .	1
He had an unruly shock of black hair .	The train hit the buffers with a great shock .	0
He 's packin ' a piece !	He needed a piece of granite .	0
Coordinate our efforts .	Coordinate his actions with that of his colleagues .	1
Mr. Jones will assume the position of a lifeguard until a proper replacement is found .	The queen assumed the stately robes .	0
Subjects received a small electric shock when they made the wrong response .	It came as a shock to learn that he was injured .	0
The end of the year .	One end of the box was marked ` This side up ' .	0
This school is well-known for having teachers of high quality .	Quality of life is usually determined by health , education , and income .	1
Who cast this beautiful movie ?	Cast a vote .	0
We 'll get them !	She did n't get the joke .	0
To hold true .	Hold that position behind the trees !	0
Crime does n't pay .	It pays to go through the trouble .	1
She had a smile on her face .	He always puts a smile on my face .	1
It 's been an age since we last saw you .	It was replaced because of its age .	1
From the window he could catch a glimpse of the lake .	I only got a glimpse of the car , so I can tell you the colour but not the registration number .	0
Open a business .	The door opened .	0
That store offers a variety of products .	The product of 2 and 3 is 6 .	0
She brought a change in her overnight bag .	The product is undergoing a change in order to improve it .	0
Do n't lie to your parents .	The snow lies on the roof . 	0
I demand an explanation .	This position demands a lot of personal sacrifice .	0
He said that architecture is the art of wasting space beautifully .	How great thou art !	0
A dedicated line .	The letter consisted of three short lines .	0
Please check each name on the list .	She checked for an instant and missed a step .	0
A good lead for a job .	They did n't follow our lead .	0
The operator could n't get Kobe because of the earthquake .	What did you get at the toy store ?	0
Roll your hair around your finger .	The thunder rolled .	0
She threw the invitation away .	She was an invitation to trouble .	0
He cut a fine figure .	He cut a sorry figure standing there in the rain .	1
This violinist is as good as Juilliard-trained violinists go .	It 's your turn ; go .	0
Humans have 22 chromosome pairs plus two sex chromosomes .	There have been documented cases of morphologically male transgenders having XX chromosomes .	1
The Union action of emancipating Southern slaves .	Recent federal action undermined the segregationist position .	1
Drift the cattle herds westwards .	The balloon was drifting in the breeze .	0
This old radio does n't work anymore .	This pilot works the controls .	0
The enemy fire is increasing – can we get some immediate coverage from those bunkers ?	There are overlapping coverages on your insurance policies .	1
Raise Cain .	Raise the roof .	1
Lift an embargo .	Lift potatoes .	0
The third link of the silver chain needs to be resoldered .	The chain of command .	1
The number of parameters is small .	He had a number of chores to do .	1
I know that I left the key on the table .	Galileo knew that the earth moves around the sun .	1
Let 's crash the party !	The economy crashed .	0
This is the one I ordered .	He is the best one .	1
If that happens it will be at some distance in the future .	At a distance of ten years he had forgotten many of the details .	1
Rub oil into her skin .	The cat rubbed itself against my leg .	1
Draw a conclusion .	I draw a line here .	1
We had to dress quickly .	Marlene dressed the baby .	1
The quality of students has risen .	Quality of life is usually determined by health , education , and income .	1
A cabbage patch .	Does n't that patch of clouds looks like a bunny ?	0
The soccer player began to swing at the referee .	This action swung many votes over to his side .	0
Gather some stones .	If you want to emphasise the shape , it is possible to gather the waistline .	0
The attraction of the book is precisely its narrowness of focus .	Frustrated by the narrowness of people 's horizons .	1
In English the subject and the verb must agree in number .	I hope to become one of their number before I die .	0
You 'll pay for this !	You 'll pay for this opinion later .	1
Rub my hands .	Rub oil into her skin .	1
The defensive line braced to stop the run .	The team enjoyed a brief run of victories .	0
"Can he reach ? "" "" The chair must not touch the wall ."	Their hands touched .	0
Can you advance me some money ?	To advance one 's interests .	0
Sculpture is a form of art .	To apply for the position , complete the application form .	0
Messages must go through diplomatic channels .	The speech has to go through several more drafts .	0
His best finish in a major tournament was third .	It was a fight to the finish .	0
A reduction in the assessment per head of sheep .	He was at the head of the column .	0
He dreamed of a home on the range .	They used to drive the cattle across the open range every spring .	1
Run a new program on the Mac .	Do n't run that software unless you have permission . ' .	1
They come from a faraway land .	He returned to the land of his birth .	0
Nobody can break out -- this prison is high security .	Three inmates broke jail .	1
Reduce a problem to a single question .	Reduce one 's standard of living .	0
The pilot had to bank the aircraft .	Bank a fire .	0
I heard a splash when the rock landed in the pond .	He made a great splash and then disappeared .	0
Check the time of the class .	Check the oil in your car once a month .	0
Give the orders .	The French doors give onto a terrace .	0
Develop land .	The country developed its natural resources .	1
Please rearrange these files .	Rearrange the furniture in my room .	1
Art does not need to be innovative to be good .	It 's quite an art .	0
I went to see my friend Mary the other day .	This program will be seen all over the world .	0
Show me where the business was today .	Business has been slow lately .	1
Put down 5 and carry 2 .	This paper carries a restaurant review .	0
I really want to sing in the school choir . said Vera .	My brother sings very well .	1
The job of repairing the engine took several hours .	I 've got a job for you - could you wash the dishes ?	1
Give a course .	She gave the boy a good spanking .	0
We had a wonderful time at the party .	I did n't have time to finish .	0
He looked for books with the word ` jazz ' in the title .	I can never remember movie titles .	1
Some parents exercise their infants .	This puzzle will exercise your mind .	1
These bonds carry warrants .	The restaurant carries an unusual name .	1
He recorded the spoken language of the streets .	He uttered harsh language .	1
Track a missile .	I tracked prints .	0
Polish my shoes .	He polished up the chrome until it gleamed .	1
This is a product of lime and nitric acid .	His reaction was the product of hunger and fatigue .	0
Come into the room .	The first success came three days later .	0
Check the brakes .	I will check up on the car tomorrow .	1
The control condition was inappropriate for the conclusions he wished to draw .	I turned the controls over to her .	0
Give priority to .	The French doors give onto a terrace .	0
He heard the phone ringing but did n't want to take the call .	He placed a phone call to London .	1
We must move quickly .	Come on guys , let 's move : there 's work to do !	1
I know the feeling !	Have you ever known hunger ?	1
The consolidation of the United States ' hegemony over a new international economic system .	To say they have priority is not to say they have complete hegemony .	1
Float the plaster .	The balloon floated off into the distance .	0
Make a move .	They make a cute couple .	0
Play a hooked fish .	He played $ 20 on the new horse .	0
Where did she get these news ?	You can not get water out of a stone .	1
His daily run keeps him fit .	He broke into a run .	1
I know your mother , but I 've never met your father .	I know this voice !	1
I took over his practice when he retired .	It is not the local practice to wear shorts to dinner .	0
Inwardness is what an Englishman quite simply has , painlessly , as a birthright .	"Socrates ' inwardness , integrity , and inquisitiveness""- H.R.Finch ."	0
To admit a serious thought into the mind .	To admit evidence in the trial of a cause .	1
His date never stopped talking .	We have n't heard from them to date .	0
We had a feast to celebrate the harvest .	The Thanksgiving feast .	0
A section of a fishing rod .	The finance section of the company .	0
A homeless tramp .	The tramp of military boots .	0
The battery had a short life .	He lived a long and happy life .	1
Make an estimate .	Can you make me an omelette ?	0
The sale will run for ten days .	They ran twenty blood tests on me and they still do n't know what 's wrong .	0
Break the cycle of poverty .	The first winter storm broke over New York .	0
A notice of sale .	He took no notice of the changes , and went on as though nothing had happened .	0
Everyone hopes for a better tomorrow .	Tomorrow 's world .	1
Break a promise .	The surf broke .	0
A master of the violin .	One of the old masters .	1
He drank a mixture of beer and lemonade .	A gradual mixture of cultures .	0
Can I keep my old stuffed animals ?	Keep smiling .	0
The glass from the shattered windshield cut into her forehead .	The new tooth is cutting .	0
I 've been suffering your insults for years .	He suffered the penalty .	1
He placed a phone call to London .	I received several phone calls today .	1
Service my truck .	The washing machine needs to be serviced .	1
I had to break a $ 100 bill just to buy the candy .	His voice is breaking -- he should no longer sing in the choir .	0
Make one 's way into the forest .	Make yourself clear .	0
Turn cartwheels .	Turn a somersault .	1
The emission of heat from a fire .	The emission was mostly blood .	0
I have some free time tonight so I think I 'll catch a movie .	The fashion did not catch .	0
To repair a shattered fortune .	To repair to sanctuary for safety .	0
He 's a sorry excuse of a doctor .	He had to get his mother to write an excuse for him .	0
The local Mafia wo n't touch gambling .	Are you all right ? You 've hardly touched your lunch .	0
It made a dent in my bank account .	The crash produced a dent in the left side of the car .	0
Where do you keep your gardening tools ?	These potatoes keep for a long time .	0
A cabbage patch .	A briar patch .	1
Take a risk .	I 'll take that plate off the table .	0
I want to see whether she speaks French .	I saw their laughing and joking .	0
He overstepped his place .	It is really not my place to say what is right and wrong in this case .	1
The general ordered the colonel to hold his position at all costs .	He held the governorship for almost a decade .	0
The break in the eighth frame cost him the match .	They hoped to avoid a break in relations .	0
In line with .	He got out of line .	1
Under the head of minor Roman poets .	The head of the hammer .	0
Come into the room .	Come down here !	1
The team enjoyed a brief run of victories .	Yesterday we did a run of 12,000 units .	0
How should I take this message ?	Looking at him as he came into the room , I took him for his father .	1
He does not have a grain of sense .	A grain of sand .	0
We must strike the enemy 's oil fields .	In the fifth inning , the Giants struck , sending three runners home to win the game 5 to 2 .	1
Fill a container .	The liquid fills the container .	0
We like to summer in the Mediterranean .	We summered in Kashmir .	1
I felt the same way .	That 's the way it is .	1
The green party took 12 % of the vote .	In 1992 Perot tried to organize a third party at the national level .	1
Unauthorized reproduction of this article is prohibited .	Gutenberg 's reproduction of holy texts was far more efficient .	1
A leak in a boat .	A leak in a roof .	1
A grain of salt .	A grain of sand .	1
He managed to multiply his profits .	He had been multiplying , but it occurred to him he needed to resolve the exponents , first .	1
It was great to feel my baby moving about inside .	I felt healthy and very feminine carrying the baby .	1
You should see a lawyer .	We had to see a psychiatrist .	1
He left school before the end of term .	He was sentenced to a term of six years in prison .	1
She did n't get his name when they met the first time .	Her childish behavior really get to me .	0
Now that we 're all in agreement , we can put that issue to rest .	The boulder came to rest just behind the house after rolling down the mountain .	1
He gave the door a hard push .	The push of the water on the walls of the tank .	0
Heat the house .	Heat the water on the stove .	0
Draw a conclusion .	She drew $ 2,000 from the account .	0
Fall into a trap .	The barometer is falling .	0
The frequency of modulation was 40 cycles per second .	The frequency of his seizures increased as he grew older .	1
They were at the head of the attack .	The head of the column advanced boldly .	1
How should I take this message ?	He was often taken to be a man of means .	1
That 's the size of the situation .	A wolf is about the size of a large dog .	0
Drill for oil .	Drill a small hole to start the screw in the right direction .	1
Here I stand , wondering what to do next .	There stood on the corner a statue .	0
I feel I hardly know him ; I just wish he 'd communicate with me a little more .	Do you communicate well with your advisor ?	1
He ate a third of the pie .	A simple harmony written in major thirds .	1
Renewed jitters in the wake of a blip in retail sales .	You ca n't react to the day-to-day blips .	1
The reason that war was declared .	They had good reason to rejoice .	0
Many readers find the first book of A Tale of Two Cities to be confusing .	Genesis is the first book of the Bible .	1
Cut orders .	Cut a caper .	0
